Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
"Fiery Boss, Control Yourself!",Chapter 72,"May 02,21",2,180.0,manganelo.com,0.5867092609405518,https://manganelo.com/manga/wu924549,"Drama,Romance,Webtoons",Ongoing,4.06,https://avt.mkklcdnv6temp.com/30/h/22-1603442747.jpg
Marshal Is Jealous Everyday,Chapter 99,"May 02,21",2,180.0,manganelo.com,0.3361063003540039,https://manganelo.com/manga/xk919955,"Drama,Webtoons",Ongoing,4.25,https://avt.mkklcdnv6temp.com/1/h/18-1583499111.jpg
"Reborn 80,000 Years",Chapter 200,"May 02,21",3,180.0,manganelo.com,0.3610954284667969,https://manganelo.com/manga/ad921253,"Adventure,Drama,Fantasy,Martial arts,Shounen,Supernatural,Webtoons",Ongoing,4.52,https://avt.mkklcdnv6temp.com/49/h/19-1583500968.jpg
Choose Your Real Daddy Tyrant,Chapter 20,"May 02,21",3,180.0,manganelo.com,0.3110005855560303,https://manganelo.com/manga/bw924927,"Fantasy,Romance,Shoujo",Ongoing,4.73,https://avt.mkklcdnv6temp.com/46/a/22-1608179846.jpg
A Poisonous Lily,Chapter 8,"May 02,21",3,180.0,manganelo.com,0.31903791427612305,https://manganelo.com/manga/ju926256,"Adventure,Fantasy,Romance,Shoujo,Webtoons",Ongoing,4.5,https://avt.mkklcdnv6temp.com/50/y/23-1617589629.jpg
Xxx Buddy,Chapter 10,"May 02,21",3,180.0,manganelo.com,0.34000110626220703,https://manganelo.com/manga/vn926225,"Mature,Smut,Yaoi,Manhwa",Ongoing,2.88,https://avt.mkklcdnv6temp.com/49/o/23-1617292222.jpg
The Immortal Doctor,Chapter 94,"May 02,21",3,180.0,manganelo.com,0.3279988765716553,https://manganelo.com/manga/ym921595,"Action,Adventure,Comedy,Fantasy,Harem,Webtoons,Isekai",Ongoing,4.28,https://avt.mkklcdnv6temp.com/12/e/20-1583501503.jpg
Immortal Cultivation Do-Over,Chapter 13,"May 02,21",3,180.0,manganelo.com,0.3749978542327881,https://manganelo.com/manga/yp926486,"Action,Adventure,Fantasy,Martial arts",Ongoing,4.39,https://avt.mkklcdnv6temp.com/10/c/24-1619796534.jpg
Wanna Be A Star,Chapter 30,"May 02,21",3,180.0,manganelo.com,0.5649232864379883,https://manganelo.com/manga/ge925588,"Comedy,Drama,Gender bender,Romance,Shoujo",Ongoing,4.28,https://avt.mkklcdnv6temp.com/23/b/23-1612840139.jpg
How To Fight,Chapter 80: He Died At My Hands,"May 02,21",3,180.0,manganelo.com,0.5458924770355225,https://manganelo.com/manga/tm923455,"Action,Comedy",Ongoing,4.76,https://avt.mkklcdnv6temp.com/36/l/21-1595608307.jpg
Where The Wind Stays [Mature],Chapter 37,"May 02,21",3,180.0,manganelo.com,0.30888938903808594,https://manganelo.com/manga/or926447,"Fantasy,Historical,Romance,Smut,Yaoi,Manhwa",Ongoing,4.27,https://avt.mkklcdnv6temp.com/8/q/24-1619321450.jpg
Dao Yin,Chapter 86,"May 02,21",3,180.0,manganelo.com,0.3438878059387207,https://manganelo.com/manga/um922752,"Action,Adventure",Ongoing,4.11,https://avt.mkklcdnv6temp.com/6/x/21-1588307896.jpg
Infinite Apostles And Twelve War Girls,Chapter 115,"May 02,21",3,180.0,manganelo.com,0.3418877124786377,https://manganelo.com/manga/ld922127,"Action,Adventure,Fantasy",Ongoing,171.16,https://avt.mkklcdnv6temp.com/32/c/20-1583502263.jpg
Picking Up A Shool Beauty To Be Wife,Chapter 97,"May 02,21",3,180.0,manganelo.com,0.6019678115844727,https://manganelo.com/manga/jf921979,"Comedy,Harem,School life,Webtoons",Ongoing,4.35,https://avt.mkklcdnv6temp.com/26/n/20-1583502050.jpg
Martial Master,Chapter 485,"May 02,21",3,180.0,manganelo.com,0.32389330863952637,https://manganelo.com/manga/mq918999,"Action,Fantasy",Ongoing,4.54,https://avt.mkklcdnv6temp.com/15/x/18-1583497709.jpg
A Painter Behind The Curtain,Chapter 70,"May 02,21",3,180.0,manganelo.com,0.3618791103363037,https://manganelo.com/manga/gj926448,"Adult,Drama,Historical,Yaoi,Manhwa",Ongoing,4.06,https://avt.mkklcdnv6temp.com/8/r/24-1619321452.jpg
Murderer Llewellyn’S Enchanting Dinner Invitation,Chapter 29,"May 02,21",3,180.0,manganelo.com,0.37087416648864746,https://manganelo.com/manga/if923651,"Historical,Mystery,Shounen ai",Ongoing,4.42,https://avt.mkklcdnv6temp.com/44/b/21-1596515635.jpg
Tales Of The Unusual,Chapter 307: Ep. 307 - Brain - Part 2,"May 02,21",3,180.0,manganelo.com,0.42690300941467285,https://manganelo.com/manga/tales_of_the_unusual,"Horror,Mystery,Psychological,School life,Shounen,Supernatural,Webtoons,Manhwa",Ongoing,4.54,https://avt.mkklcdnv6temp.com/15/a/1-1583464262.jpg
Flowers Not In Full Bloom,Chapter 13,"May 02,21",3,180.0,manganelo.com,0.35789990425109863,https://manganelo.com/manga/cw923027,"Romance,Supernatural,Webtoons",Ongoing,4.36,https://avt.mkklcdnv6temp.com/18/h/21-1590325112.jpg
Unbending Flower,Chapter 75,"May 02,21",3,180.0,manganelo.com,0.3508598804473877,https://manganelo.com/manga/xo920296,"Fantasy,Romance,Shoujo,Webtoons",Ongoing,4.38,https://avt.mkklcdnv6temp.com/13/r/19-1583499614.jpg
To Be Winner,Chapter 90,"May 02,21",3,180.0,manganelo.com,0.311870813369751,https://manganelo.com/manga/ih917864,"Romance,School life,Shoujo,Slice of life,Webtoons",Ongoing,4.69,https://avt.mkklcdnv6temp.com/24/s/17-1583496143.jpg
I’M The Grim Reaper,Chapter 73,"May 02,21",3,180.0,manganelo.com,0.40487170219421387,https://manganelo.com/manga/hg923813,Action,Ongoing,4.53,https://avt.mkklcdnv6temp.com/50/n/21-1597770362.jpg
Martial Arts Reigns,Chapter 263,"May 02,21",3,180.0,manganelo.com,0.3778715133666992,https://manganelo.com/manga/aq920543,"Action,Fantasy,Webtoons",Ongoing,4.62,https://avt.mkklcdnv6temp.com/22/t/19-1583500017.jpg
